,Ti,Nb,Al,Ge,Co,Au,Pd,Ni,Zn,Ga,Mo,Cu,Pt,Sn,Cr,Mn,Mg,Si,Fe,Ru,Rh,Hf,Ta,W,Re,Ir,Bi
0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,61.5,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0
1,0.0,0.0,0.0,0.0,0.5,0.0,0.0,1.0,20.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,58.5,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0
2,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,13.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,69.5,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0
3,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,74.5,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0
4,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,71.0,0.0,0.0,0.0,0.0,0.0,0.0,10.5,0.0
5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,67.5,0.0,0.0,0.0,0.0,0.0,0.0,13.5,0.0
6,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,14.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,69.5,0.0,0.0,0.0,0.0,0.0,0.0,11.5,0.0
7,0.0,0.0,9.0,0.0,0.5,0.0,0.0,0.5,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.5,0.0,0.0,0.0,0.0,0.0,0.0,18.5,0.0
8,0.0,0.0,13.0,0.0,0.5,0.0,0.0,1.5,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0
9,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0
10,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,18.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,60.5,0.0,0.0,0.0,0.0,0.0,0.0,16.5,0.0
11,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,21.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,16.5,0.0
12,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0
13,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,75.5,0.0,0.0,0.0,0.0,0.0,0.0,5.5,0.0
14,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,58.5,0.0,0.0,0.0,0.0,0.0,0.0,15.5,0.0
15,0.0,0.0,0.0,0.0,1.5,0.0,0.0,1.5,21.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,57.5,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0
16,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0
17,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,67.0,0.0,0.0,0.0,0.0,0.0,0.0,13.5,0.0
18,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,20.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,59.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0
19,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,14.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,70.5,0.0,0.0,0.0,0.0,0.0,0.0,10.5,0.0
