Ti,Nb,Al,Ge,Co,Au,Pd,Ni,Zn,Ga,Mo,Cu,Pt,Sn,Cr,Mn,Mg,Si,Fe,Ru,Rh,Hf,Ta,W,Re,Ir,Bi,Ef,Mag,AHC,condu,AHA
0,0,0,0,0.5,0,0,0.5,20.5,0,0,0,0,0,0,0,0,1.5,66,0,0,0,0,0,0,11,0,0.004857745,1.7281,0.00096965,0.013077403,0.074146987
0,0,0,0,0.5,0,0,0.5,13,0,0,0,0,0,0,0,0,4.5,59,0,0,0,0,0,0,22.5,0,0.00684561,1.6713,0.000859655,0.009852458,0.087252842
0,0,0,0,0.5,0,0,2,12.5,0,0,0,0,0,0,0,0,4,60,0,0,0,0,0,0,21,0,0.00686506,1.6959,0.000873875,0.010225094,0.085463759
0,0,0,0,1,0,0,2,12,0,0,0,0,0,0,0,0,3.5,60,0,0,0,0,0,0,21.5,0,0.00731926,1.7108,0.000882831,0.01034839,0.085310948
0,0,0,0,0.5,0,0,0.5,12.5,0,0,0,0,0,0,0,0,2.5,68.5,0,0,0,0,0,0,15.5,0,0.00542075,1.8481,0.00103163,0.011640322,0.088625559
0,0,0,0,1.5,0,0,2.5,0,0,0,0,0,0,0,0,0,6,56,0,15.5,0,0,0,0,18.5,0,0.007674625,1.7604,0.000713351,0.012350488,0.05775893
0,0,0,0,0.5,0,0,1.5,13,0,0,0,0,0,0,0,0,4,60,0,0,0,0,0,0,21,0,0.00676744,1.6914,0.000876817,0.010151342,0.086374494
0,0,0,0,0.5,0,0,0.5,15,0,0,0,0,0,0,0,0,2.5,66.5,0,0,0,0,0,0,15,0,0.005371145,1.789,0.000998188,0.011510993,0.086716065
0,0,0,0,0.5,0,0,0.5,12,0,0,0,0,0,0,0,0,2.5,69,0,0,0,0,0,0,15.5,0,0.00539796,1.8614,0.00103889,0.011704705,0.088758321
0,0,0,0,1.5,0,0,0.5,8,0,0,0,0,0,0,0,0,0,61.5,0,14.5,0,0,0,0,14,0,0.00864361,1.8455,0.000866859,0.01350252,0.064199796
0,0,0,0,0.5,0,0,0.5,14,0,0,0,0,0,0,0,0,3,66,0,0,0,0,0,0,16,0,0.005428,1.7881,0.00098148,0.01119831,0.087645369
0,0,0,0,0.5,0,0,0.5,12.5,0,0,0,0,0,0,0,0,3,67.5,0,0,0,0,0,0,16,0,0.00535563,1.8283,0.00100395,0.011371758,0.088284499
0,0,0,0,0.5,0,0,0.5,11.5,0,0,0,0,0,0,0,0,2.5,69.5,0,0,0,0,0,0,15.5,0,0.00537417,1.8747,0.00104595,0.01177253,0.088846665
0,0,0,0,0.5,0,0,0.5,11,0,0,0,0,0,0,0,0,2.5,70,0,0,0,0,0,0,15.5,0,0.00535038,1.888,0.00105282,0.011844204,0.088889048
0,0,0,0,0.5,0,0,0.5,11,0,0,0,0,0,0,0,0,2.5,70.5,0,0,0,0,0,0,15,0,0.005177825,1.895,0.00105927,0.0119893,0.088351279
0,0,0,0,1,0,0,0.5,5,0,0,0,0,0,0,0,0,0,59.5,0,19,0,0,0,0,15,0,0.01062276,1.8359,0.00080231,0.014662786,0.054717434
12,0,0,0,0.5,0,0,0.5,12,0,0,0,0,0,0,0,0,0,60.5,0,0,0,0,0,0,14.5,0,0.000888025,1.4832,0.000668683,0.008851204,0.075547119
0,0,0,0,0.5,0,0,0.5,13.5,0,0,0,0,0,0,0,0,2.5,67,0,0,0,0,0,0,16,0,0.005622885,1.8141,0.00101072,0.011379605,0.088818547
0,0,0,0,1,0,0,1,7.5,0,0,0,0,0,0,0,0,0,62.5,0,11,0,0,0,0,17,0,0.00956938,1.8555,0.000894844,0.013122983,0.068189072
0,0,0,0,0.5,0,0,0.5,18.5,0,0,0,0,0,0,0,0,2,66.5,0,0,0,0,0,0,12,0,0.00486102,1.7533,0.000979378,0.012526478,0.078184624
