,Ti,Nb,Al,Ge,Co,Au,Pd,Ni,Zn,Ga,Mo,Cu,Pt,Sn,Cr,Mn,Mg,Si,Fe,Ru,Rh,Hf,Ta,W,Re,Ir,Bi
0,0.0,0.0,3.5,0.0,20.0,0.0,0.0,8.0,11.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.5,0.0,0.0,0.0,0.0,0.0,0.0,14.5,0.0
1,0.0,0.0,4.5,0.0,20.0,0.0,0.0,9.5,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,0.0
2,0.0,0.0,3.5,0.0,20.5,0.0,0.0,8.5,11.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.5,0.0,0.0,0.0,0.0,0.0,0.0,13.5,0.0
3,0.0,0.0,0.0,0.0,22.5,0.0,0.0,5.0,15.5,0.0,0.0,0.0,11.5,0.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,0.0
4,0.0,0.0,3.5,0.0,15.0,0.0,0.0,13.0,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.5,0.0,0.0,0.0,0.0,0.0,0.0,13.5,0.0
5,0.0,0.0,5.0,0.0,14.0,0.0,0.0,14.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.5,0.0,0.0,0.0,0.0,0.0,0.0,14.5,0.0
6,0.0,0.0,4.0,0.0,21.5,0.0,0.0,7.5,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,13.5,0.0
7,0.0,0.0,5.0,0.0,14.0,0.0,0.0,14.0,11.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.5,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0
8,0.0,0.0,0.0,0.0,21.0,0.0,0.0,7.0,16.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0
9,0.0,0.0,4.5,0.0,18.5,0.0,0.0,10.5,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.5,0.0,0.0,0.0,0.0,0.0,0.0,13.5,0.0
10,0.0,0.0,0.0,0.0,20.0,0.0,0.0,7.5,14.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,32.5,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0
11,0.0,0.0,4.0,0.0,22.5,0.0,0.0,6.5,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.5,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0
12,0.0,0.0,0.0,0.0,21.0,0.0,0.0,7.0,15.5,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,11.5,0.0
13,0.0,0.0,5.0,0.0,18.0,0.0,0.0,10.5,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.5,0.0,0.0,0.0,0.0,0.0,0.0,13.5,0.0
14,0.0,0.0,3.5,0.0,19.5,0.0,0.0,9.5,11.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.5,0.0,0.0,0.0,0.0,0.0,0.0,12.5,0.0
15,0.0,0.0,4.5,0.0,20.5,0.0,0.0,9.0,8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.5,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0
16,0.0,0.0,3.5,0.0,18.0,0.0,0.0,10.5,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0
17,0.0,0.0,4.0,0.0,20.0,0.0,0.0,9.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0
18,0.0,0.0,3.5,0.0,21.0,0.0,0.0,7.5,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.5,0.0,0.0,0.0,0.0,0.0,0.0,13.5,0.0
19,0.0,0.0,0.0,0.0,20.5,0.0,0.0,6.5,16.5,0.0,0.0,0.0,9.5,0.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0
