Ti,Nb,Al,Ge,Co,Au,Pd,Ni,Zn,Ga,Mo,Cu,Pt,Sn,Cr,Mn,Mg,Si,Fe,Ru,Rh,Hf,Ta,W,Re,Ir,Bi,Ef,Mag,AHC,condu,AHA
0,0,3.5,0,20,0,0,8,11.5,0,0,0,0,0,0,0,0,0,42.5,0,0,0,0,0,0,14.5,0,0.007627645,1.4494,0.000883643,0.01350427,0.065434342
0,0,4.5,0,20,0,0,9.5,9.5,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,12.5,0,0.006681615,1.4866,0.000873964,0.014289418,0.061161624
0,0,3.5,0,20.5,0,0,8.5,11.5,0,0,0,0,0,0,0,0,0,42.5,0,0,0,0,0,0,13.5,0,0.007392705,1.4579,0.000891641,0.01387398,0.064267138
0,0,0,0,22.5,0,0,5,15.5,0,0,0,11.5,0,0,0,0,0,33,0,0,0,0,0,0,12.5,0,0.00766417,1.3095,0.000717076,0.012641995,0.056721745
0,0,3.5,0,15,0,0,13,12.5,0,0,0,0,0,0,0,0,0,42.5,0,0,0,0,0,0,13.5,0,0.006907615,1.3969,0.000712969,0.012459642,0.057222272
0,0,5,0,14,0,0,14,11,0,0,0,0,0,0,0,0,0,41.5,0,0,0,0,0,0,14.5,0,0.006178835,1.359,0.000750514,0.012079077,0.062133388
0,0,4,0,21.5,0,0,7.5,9.5,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,13.5,0,0.007402305,1.5025,0.000781924,0.013133258,0.0595377
0,0,5,0,14,0,0,14,11.5,0,0,0,0,0,0,0,0,0,41.5,0,0,0,0,0,0,14,0,0.00600807,1.3574,0.000677287,0.012143495,0.055773646
0,0,0,0,21,0,0,7,16,0,0,0,10,0,0,0,0,0,34,0,0,0,0,0,0,12,0,0.00760196,1.3123,0.000720517,0.012738206,0.056563457
0,0,4.5,0,18.5,0,0,10.5,9.5,0,0,0,0,0,0,0,0,0,43.5,0,0,0,0,0,0,13.5,0,0.006835265,1.4591,0.000875159,0.013802082,0.063407751
0,0,0,0,20,0,0,7.5,14,0,0,0,15,0,0,0,0,0,32.5,0,0,0,0,0,0,11,0,0.00703193,1.2879,0.000717124,0.012928651,0.055467815
0,0,4,0,22.5,0,0,6.5,9.5,0,0,0,0,0,0,0,0,0,44.5,0,0,0,0,0,0,13,0,0.00735745,1.5233,0.000790228,0.013343736,0.059220894
0,0,0,0,21,0,0,7,15.5,0,0,0,11,0,0,0,0,0,34,0,0,0,0,0,0,11.5,0,0.007461485,1.3173,0.000735439,0.012888159,0.057063154
0,0,5,0,18,0,0,10.5,9.5,0,0,0,0,0,0,0,0,0,43.5,0,0,0,0,0,0,13.5,0,0.006470565,1.4492,0.00072597,0.012716901,0.057087024
0,0,3.5,0,19.5,0,0,9.5,11.5,0,0,0,0,0,0,0,0,0,43.5,0,0,0,0,0,0,12.5,0,0.007100895,1.47,0.000893848,0.01422814,0.062822545
0,0,4.5,0,20.5,0,0,9,8.5,0,0,0,0,0,0,0,0,0,44.5,0,0,0,0,0,0,13,0,0.00697894,1.5049,0.000779036,0.013249315,0.058798209
0,0,3.5,0,18,0,0,10.5,12,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,13,0,0.00706478,1.441,0.000735451,0.012813423,0.057396917
0,0,4,0,20,0,0,9,10,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,13,0,0.00711549,1.4868,0.000881996,0.01413084,0.06241639
0,0,3.5,0,21,0,0,7.5,11,0,0,0,0,0,0,0,0,0,43.5,0,0,0,0,0,0,13.5,0,0.007536855,1.4844,0.000892371,0.013978935,0.063836838
0,0,0,0,20.5,0,0,6.5,16.5,0,0,0,9.5,0,0,0,0,0,35,0,0,0,0,0,0,12,0,0.007544645,1.3232,0.000701895,0.012690382,0.055309209
