Ti,Nb,Al,Ge,Co,Au,Pd,Ni,Zn,Ga,Mo,Cu,Pt,Sn,Cr,Mn,Mg,Si,Fe,Ru,Rh,Hf,Ta,W,Re,Ir,Bi,Ef,Mag,AHC,condu,AHA
0,0,0,0,10.5,0,9,14,0,0,0,0,19.5,0,0,0,0,0,36,0,0,0,0,0,0,11,0,0.017958555,1.4217,0.000913853,0.015936812,0.057342271
0,0,0,0,14.5,0,8,9.5,0,0,0,0,24,0,0,0,0,0,36,0,0,0,0,0,0,8,0,0.01673687,1.4742,0.00099363,0.016659076,0.059644964
0,0,0,0,14,0,10,10.5,0,0,0,0,20,0,0,0,0,0,36,0,0,0,0,0,0,9.5,0,0.017263435,1.4692,0.000943477,0.016371245,0.05763013
0,0,0,0,7.5,0,8.5,16.5,0,0,0,0,20.5,0,0,0,0,0,36,0,0,0,0,0,0,11,0,0.017971335,1.3802,0.000895204,0.015906217,0.056280133
0,0,0,0,13.5,0,8.5,10.5,0,0,0,0,23.5,0,0,0,0,0,35.5,0,0,0,0,0,0,8.5,0,0.01701337,1.4486,0.000974745,0.016495002,0.059093355
0,0,0,0,11.5,0,10,12.5,0,0,0,0,19,0,0,0,0,0,36,0,0,0,0,0,0,11,0,0.01786307,1.4343,0.000921428,0.015945562,0.05778586
0,0,0,0,13.5,0,9,10.5,0,0,0,0,22,0,0,0,0,0,36,0,0,0,0,0,0,9,0,0.0170957,1.4613,0.000966918,0.016407389,0.058931864
0,0,0,0,11.5,0,10,12.5,0,0,0,0,19.5,0,0,0,0,0,35.5,0,0,0,0,0,0,11,0,0.017956005,1.4215,0.000913684,0.015929423,0.05735826
0,0,0,0,10.5,0,9,11.5,0,0,0,0,22,0,0,0,0,0,38,0,0,0,0,0,0,9,0,0.01663196,1.4684,0.000967218,0.016339482,0.059195146
0,0,0,0,14.5,0,11.5,9.5,0,0,0,0,19.5,0,0,0,0,0,36,0,0,0,0,0,0,9,0,0.016942625,1.4756,0.000973905,0.01656807,0.058782043
0,0,0,0,11.5,0,11,10,0,0,0,0,20,0,0,0,0,0,38,0,0,0,0,0,0,9.5,0,0.016681385,1.481,0.000959836,0.016272979,0.058983424
0,0,0,0,10.5,0,10,13.5,0,0,0,0,19,0,0,0,0,0,36,0,0,0,0,0,0,11,0,0.01787137,1.4211,0.000908348,0.015947254,0.056959525
0,0,0,0,10,0,9.5,14,0,0,0,0,19.5,0,0,0,0,0,36,0,0,0,0,0,0,11,0,0.017903375,1.4142,0.00091111,0.015926147,0.05720844
0,0,0,0,10.5,0,12,13.5,0,0,0,0,19,0,0,0,0,0,35.5,0,0,0,0,0,0,9.5,0,0.017240025,1.4108,0.000927771,0.016424083,0.05648845
0,0,0,0,10,0,9,14,0,0,0,0,20,0,0,0,0,0,35.5,0,0,0,0,0,0,11.5,0,0.018222285,1.4006,0.000949151,0.015788987,0.060114751
0,0,0,0,14,0,11,10,0,0,0,0,20,0,0,0,0,0,35.5,0,0,0,0,0,0,9.5,0,0.017272185,1.4559,0.000955797,0.016353957,0.058444387
0,0,0,0,9.5,0,10,14.5,0,0,0,0,19.5,0,0,0,0,0,36,0,0,0,0,0,0,10.5,0,0.01767705,1.4083,0.000911512,0.016068792,0.056725608
0,0,0,0,14.5,0,11.5,9.5,0,0,0,0,20,0,0,0,0,0,35.5,0,0,0,0,0,0,9,0,0.01703456,1.463,0.000968031,0.016530759,0.058559379
0,0,0,0,9.5,0,10,13.5,0,0,0,0,20,0,0,0,0,0,36.5,0,0,0,0,0,0,10.5,0,0.017523165,1.4188,0.000919963,0.016011542,0.057456238
0,0,0,0,11.5,0,10,13,0,0,0,0,18.5,0,0,0,0,0,36,0,0,0,0,0,0,11,0,0.017892545,1.4355,0.000924057,0.01598245,0.057816981
