Ti,Nb,Al,Ge,Co,Au,Pd,Ni,Zn,Ga,Mo,Cu,Pt,Sn,Cr,Mn,Mg,Si,Fe,Ru,Rh,Hf,Ta,W,Re,Ir,Bi,Ef,Mag,AHC,condu,AHA
0,0,0,0,0.5,0,0,0.5,19,0,0,0,0,0,0,0,0,2.5,61.5,0,0,0,0,0,0,16,0,0.005779575,1.6667,0.000923822,0.010839024,0.085231103
0,0,0,0,0.5,0,0,1,20.5,0,0,0,0,0,0,0,0,3.5,58.5,0,0,0,0,0,0,16,0,0.005590005,1.5918,0.000849448,0.0104813,0.081044145
0,0,0,0,0.5,0,0,0.5,13.5,0,0,0,0,0,0,0,0,4,69.5,0,0,0,0,0,0,12,0,0.00384742,1.8345,0.000970358,0.012344257,0.07860805
0,0,0,0,0.5,0,0,0.5,14,0,0,0,0,0,0,0,0,3.5,74.5,0,0,0,0,0,0,7,0,0.002609335,1.8998,0.000949897,0.015626392,0.060787991
0,0,0,0,0.5,0,0,0.5,14,0,0,0,0,0,0,0,0,3.5,71,0,0,0,0,0,0,10.5,0,0.00360922,1.8543,0.000984958,0.013181829,0.074720889
0,0,0,0,0.5,0,0,0.5,14,0,0,0,0,0,0,0,0,4,67.5,0,0,0,0,0,0,13.5,0,0.004333875,1.8001,0.000957016,0.011710117,0.081725572
0,0,0,0,0.5,0,0,0.5,14.5,0,0,0,0,0,0,0,0,3.5,69.5,0,0,0,0,0,0,11.5,0,0.00394912,1.8277,0.0009769,0.012624864,0.077379049
0,0,9,0,0.5,0,0,0.5,8,0,0,0,0,0,0,0,0,0,63.5,0,0,0,0,0,0,18.5,0,0.001816425,1.7244,0.000992501,0.01069502,0.092800295
0,0,13,0,0.5,0,0,1.5,0,0,0,0,21,0,0,0,0,0,58,0,0,0,0,0,0,6,0,-0.00320652,1.6423,0.00080964,0.014520513,0.055758361
0,0,0,0,0.5,0,0,0.5,13,0,0,0,0,0,0,0,0,4,72,0,0,0,0,0,0,10,0,0.00320641,1.8745,0.000976793,0.01337738,0.07301826
0,0,0,0,0.5,0,0,0.5,18.5,0,0,0,0,0,0,0,0,3.5,60.5,0,0,0,0,0,0,16.5,0,0.00558599,1.6466,0.000886376,0.010512306,0.084317945
0,0,0,0,0.5,0,0,0.5,21.5,0,0,0,0,0,0,0,0,2,59,0,0,0,0,0,0,16.5,0,0.006100755,1.6041,0.000900679,0.010612703,0.084868011
0,0,0,0,0.5,0,0,0.5,15,0,0,0,0,0,0,0,0,3,71,0,0,0,0,0,0,10,0,0.00371892,1.8475,0.000990164,0.013554652,0.073049755
0,0,0,0,0.5,0,0,0.5,15,0,0,0,0,0,0,0,0,3,75.5,0,0,0,0,0,0,5.5,0,0.002451925,1.9053,0.000920887,0.017400213,0.052923892
0,0,0,0,0.5,0,0,0.5,23,0,0,0,0,0,0,0,0,2,58.5,0,0,0,0,0,0,15.5,0,0.005860015,1.5802,0.000884264,0.01078617,0.081981274
0,0,0,0,1.5,0,0,1.5,21.5,0,0,0,0,0,0,0,0,3,57.5,0,0,0,0,0,0,15,0,0.00560908,1.5775,0.000840458,0.010841289,0.077523806
0,0,0,0,1,0,0,1,23,0,0,0,0,0,0,0,0,2,58,0,0,0,0,0,0,15,0,0.00581963,1.5756,0.000872819,0.010970814,0.079558269
0,0,0,0,0.5,0,0,0.5,15,0,0,0,0,0,0,0,0,3.5,67,0,0,0,0,0,0,13.5,0,0.00456713,1.7861,0.000962743,0.01174847,0.081946243
0,0,0,0,0.5,0,0,0.5,20.5,0,0,0,0,0,0,0,0,2.5,59,0,0,0,0,0,0,17,0,0.006059055,1.61,0.000891184,0.010444568,0.08532512
0,0,0,0,0.5,0,0,0.5,14.5,0,0,0,0,0,0,0,0,3.5,70.5,0,0,0,0,0,0,10.5,0,0.00366301,1.8414,0.000975542,0.013125541,0.074323945
