Ti,Nb,Al,Ge,Co,Au,Pd,Ni,Zn,Ga,Mo,Cu,Pt,Sn,Cr,Mn,Mg,Si,Fe,Ru,Rh,Hf,Ta,W,Re,Ir,Bi,Ef,Mag,AHC,condu,AHA
0,0,4,0,19,0,0,9.5,11,0,0,0,0,0,0,0,0,0,42.5,0,0,0,0,0,0,14,0,0.00713907,1.4394,0.000724874,0.012626067,0.057410912
0,0,4,0,25.5,0,0,12,12,0,0,0,0,0,0,0,0,0,30.5,0,0,0,0,0,0,16,0,0.0074368,1.2647,0.000624669,0.01232947,0.050664708
0,0,22.5,0,17,0,0,8.5,7.5,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,9.5,0,-0.002738095,1.1213,0.000429325,0.011342701,0.037850333
0,0,4.5,0,19.5,0,0,9,9.5,0,0,0,0,0,0,0,0,0,42.5,0,0,0,0,0,0,15,0,0.00723622,1.4447,0.000913706,0.013367267,0.068353987
0,0,4,0,17.5,0,0,9.5,11,0,0,0,0,0,0,0,0,0,40.5,0,0,0,0,0,0,17.5,0,0.007735675,1.3739,0.000737356,0.011924847,0.061833584
0,0,2.5,0,24,0,0,8,15.5,0,0,0,0,0,0,0,0,0,35.5,0,0,0,0,0,0,14.5,0,0.007789925,1.3423,0.000674335,0.01242947,0.054252917
0,0,3.5,0,25.5,0,0,9.5,12.5,0,0,0,0,0,0,0,0,0,35.5,0,0,0,0,0,0,13.5,0,0.007225705,1.3702,0.000682791,0.012939126,0.052769482
0,0,4.5,0,18,0,0,10,10,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,16.5,0,0.007352215,1.3933,0.000687902,0.012129413,0.056713544
0,0,4,0,18.5,0,0,9.5,11,0,0,0,0,0,0,0,0,0,42.5,0,0,0,0,0,0,14.5,0,0.007235865,1.4327,0.000719427,0.012486731,0.057615321
0,0,4.5,0,19,0,0,9,9.5,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,16,0,0.00741357,1.4266,0.000828168,0.0130681,0.063373251
0,0,4,0,19.5,0,0,10,10.5,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,14,0,0.00718945,1.4382,0.000876445,0.013647329,0.064220992
0,0,5,0,24,0,0,10.5,11,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,15.5,0,0.006746275,1.3144,0.000641234,0.012301847,0.052125018
0,0,4.5,0,18.5,0,0,9.5,10,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,15.5,0,0.007209455,1.4208,0.000705291,0.012327771,0.057211557
0,0,4.5,0,18,0,0,9,9.5,0,0,0,0,0,0,0,0,0,40.5,0,0,0,0,0,0,18.5,0,0.007781825,1.3784,0.000786469,0.012493069,0.062952427
0,0,4,0,18,0,0,9.5,11,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,18.5,0,0.007899545,1.3467,0.000615788,0.011825043,0.052074907
0,0,3.5,0,21,0,0,9.5,12.5,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,15.5,0,0.007593085,1.3654,0.000679884,0.012259457,0.055457919
0,0,4.5,0,17,0,0,10,9.5,0,0,0,0,0,0,0,0,0,40.5,0,0,0,0,0,0,18.5,0,0.007720125,1.3684,0.000835613,0.012434804,0.067199531
0,0,4.5,0,17.5,0,0,8.5,9.5,0,0,0,0,0,0,0,0,0,39.5,0,0,0,0,0,0,20.5,0,0.008034875,1.346,0.000798418,0.012184943,0.065524965
0,0,4,0,19.5,0,0,9,11,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,13.5,0,0.007070865,1.4554,0.000734656,0.012786843,0.057454057
