,semiangle_cutoff,defocus,energy,max_iter,step_size,identical_slices_iter,slice_thicknesses,num_slices,NMSE
0,26.3,194.0,261000.0,11.0,0.24,7.0,22.1,41.0,0.3920047879219055
1,16.2,96.0,167000.0,12.0,0.76,356.0,31.4,43.0,0.7011114954948425
2,9.4,195.0,101000.0,5.0,0.08,491.0,7.3,33.0,0.7188249230384827
3,3.1,46.0,119000.0,18.0,0.35,492.0,2.4,36.0,0.5918330550193787
4,12.0,153.0,282000.0,7.0,0.44,136.0,40.3,64.0,0.8731560707092284
5,3.0,121.0,239000.0,2.0,0.46,395.0,49.4,59.0,0.999272346496582
6,2.1,90.0,57000.0,13.0,0.22,76.0,27.3,11.0,0.6099507808685303
7,22.2,188.0,283000.0,8.0,0.6,331.0,26.0,48.0,0.8463591933250427
8,1.3,15.0,131000.0,9.0,0.19,265.0,30.4,72.0,0.8674270510673523
9,9.9,81.0,247000.0,12.0,0.71,256.0,41.7,72.0,0.8441267013549805
10,26.1,41.0,90000.0,10.0,0.5,304.0,41.1,53.0,0.5413287281990051
11,28.2,145.0,54000.0,13.0,0.57,382.0,40.5,31.0,0.46550849080085754
12,5.0,127.0,3000.0,16.0,0.51,499.0,49.2,23.0,0.4762857258319855
13,25.6,163.0,72000.0,14.0,0.98,366.0,5.7,51.0,0.5886908173561096
14,14.4,1.0,297000.0,18.0,0.23,303.0,24.1,37.0,0.5949667692184448
15,16.3,113.0,250000.0,2.0,0.61,252.0,8.9,15.0,0.8905952572822572
16,19.5,177.0,11000.0,9.0,0.88,239.0,19.0,25.0,0.5559940934181213
17,2.4,36.0,167000.0,11.0,0.55,150.0,43.4,85.0,0.9151940941810607
18,14.5,151.0,235000.0,8.0,0.19,127.0,12.6,40.0,0.6554129719734192
19,1.2,57.0,162000.0,9.0,0.54,370.0,46.6,33.0,0.7177519798278809
20,22.8,124.0,101000.0,2.0,0.55,423.0,40.1,70.0,0.9990499019622804
21,2.5,162.0,261000.0,13.0,0.04,128.0,36.5,84.0,0.9773303270339966
22,15.9,9.0,162000.0,16.0,0.24,151.0,37.4,52.0,0.649201512336731
23,26.9,102.0,54000.0,2.0,0.66,362.0,36.2,7.0,0.7843696475028992
24,1.8,93.0,138000.0,15.0,0.45,196.0,49.8,26.0,0.8233266472816467
25,25.3,67.0,279000.0,19.0,0.76,257.0,37.1,93.0,0.6083962917327881
26,22.4,63.0,62000.0,14.0,0.07,226.0,48.1,92.0,0.6458179354667664
27,24.9,198.0,109000.0,7.0,0.77,8.0,23.8,65.0,0.6244441270828247
28,16.5,81.0,206000.0,17.0,0.59,236.0,33.8,9.0,0.44021895527839666
29,17.4,60.0,148000.0,9.0,0.64,205.0,36.7,6.0,0.4085148870944977
30,5.2,64.0,199000.0,20.0,0.44,270.0,36.8,54.0,0.7401827573776245
31,11.1,117.0,207000.0,20.0,0.7,213.0,6.6,28.0,0.5646191835403442
32,2.6,77.0,258000.0,6.0,0.38,262.0,5.3,100.0,0.944838285446167
33,14.3,60.0,12000.0,11.0,0.27,254.0,46.6,39.0,0.5092844367027283
34,24.6,114.0,31000.0,11.0,0.75,352.0,37.1,79.0,0.5720340013504028
35,25.2,94.0,121000.0,16.0,0.1,343.0,27.9,59.0,0.5596590638160706
36,25.7,119.0,139000.0,3.0,0.2,343.0,47.9,85.0,0.6372140049934387
37,21.4,61.0,263000.0,5.0,1.0,148.0,40.0,24.0,0.46625086665153503
38,20.3,68.0,230000.0,2.0,0.83,304.0,48.4,5.0,0.6606143116950989
39,5.9,62.0,276000.0,7.0,0.85,219.0,18.5,100.0,0.9445840716362
40,26.3,185.0,174000.0,20.0,0.69,164.0,10.9,17.0,0.4929951131343841
41,6.0,110.0,286000.0,16.0,0.15,378.0,11.9,41.0,0.7679365873336792
42,26.3,96.0,20000.0,20.0,0.71,96.0,24.7,98.0,0.7954623699188232
43,12.8,63.0,86000.0,2.0,0.53,196.0,40.7,95.0,0.9999997019767761
44,5.9,46.0,22000.0,16.0,0.54,211.0,3.9,84.0,0.7881330251693726
45,13.1,29.0,201000.0,18.0,0.51,476.0,6.5,94.0,0.6119200587272644
46,28.7,153.0,45000.0,14.0,0.58,220.0,46.6,14.0,0.6180813312530518
47,9.2,51.0,159000.0,15.0,0.62,477.0,14.1,2.0,0.44207146763801575
48,28.6,171.0,256000.0,7.0,0.78,327.0,7.3,3.0,0.4632090628147126
49,3.8,84.0,111000.0,11.0,0.47,281.0,37.4,24.0,0.5989333391189575
50,24.0,171.0,99000.0,19.0,0.51,297.0,28.9,10.0,0.4193764925003052
51,18.3,6.0,111000.0,18.0,0.72,237.0,26.7,67.0,0.5708221197128296
52,25.8,117.0,51000.0,14.0,0.67,264.0,16.6,12.0,0.4318602383136749
53,12.3,14.0,176000.0,7.0,0.1,452.0,35.1,74.0,0.8069150447845459
54,13.9,146.0,158000.0,17.0,0.57,296.0,46.3,29.0,0.4689127802848816
55,11.7,106.0,148000.0,19.0,0.73,135.0,40.0,43.0,0.5727189779281616
56,11.5,73.0,216000.0,9.0,0.9,401.0,41.5,18.0,0.6595445275306702
57,3.8,50.0,267000.0,8.0,0.17,350.0,8.6,29.0,0.8093035221099854
58,9.2,37.0,137000.0,17.0,0.52,317.0,14.5,99.0,0.6335228085517883
59,25.6,138.0,157000.0,5.0,0.13,314.0,33.5,96.0,0.6085584163665771
60,5.7,25.0,2000.0,8.0,0.04,166.0,9.7,55.0,0.6097718477249146
61,3.4,103.0,229000.0,1.0,0.22,124.0,24.5,52.0,1.8042911291122437
62,16.5,4.0,197000.0,20.0,0.99,146.0,29.5,27.0,0.5870300531387329
63,8.2,64.0,153000.0,6.0,0.52,392.0,20.0,12.0,0.5910605192184448
64,17.4,5.0,248000.0,15.0,0.55,485.0,14.9,35.0,0.5390973091125488
65,24.0,190.0,231000.0,10.0,0.23,462.0,29.0,59.0,0.7084900140762329
66,8.6,88.0,258000.0,1.0,0.81,58.0,25.3,41.0,1.3775761127471924
67,18.7,157.0,203000.0,10.0,0.66,169.0,21.3,40.0,0.4661555588245392
68,10.7,110.0,57000.0,9.0,0.96,395.0,36.7,1.0,0.44315072894096375
69,19.6,141.0,81000.0,5.0,0.87,394.0,44.0,10.0,0.4488860666751862
70,1.7,29.0,241000.0,8.0,0.89,228.0,21.1,36.0,0.8843233585357666
71,12.4,196.0,55000.0,13.0,0.45,169.0,11.3,51.0,0.5445331931114197
72,26.2,17.0,162000.0,19.0,0.18,74.0,5.0,89.0,0.5176780819892883
73,8.0,187.0,80000.0,8.0,0.74,432.0,42.2,95.0,1.0000001192092896
74,13.9,83.0,265000.0,17.0,0.19,98.0,38.4,48.0,0.4699644148349762
75,24.8,10.0,80000.0,18.0,0.48,159.0,9.7,39.0,0.6239804029464722
76,2.7,169.0,298000.0,17.0,0.7,12.0,12.0,91.0,0.841793417930603
77,21.3,189.0,129000.0,16.0,0.87,86.0,28.6,19.0,0.7752700448036195
78,6.1,172.0,151000.0,16.0,0.49,17.0,37.1,73.0,0.7706237435340881
79,21.0,59.0,27000.0,6.0,0.85,100.0,1.6,67.0,0.6781907677650452
80,8.0,20.0,109000.0,12.0,0.38,31.0,25.7,64.0,0.6289663314819336
81,8.7,162.0,159000.0,2.0,0.24,20.0,48.1,34.0,0.9681500196456909
82,9.4,126.0,71000.0,15.0,0.64,295.0,18.8,69.0,0.5513141751289368
83,23.4,56.0,177000.0,3.0,0.47,345.0,6.1,40.0,0.723625898361206
84,7.4,173.0,65000.0,12.0,0.15,16.0,37.1,48.0,0.6401059627532959
85,6.0,142.0,284000.0,10.0,0.46,27.0,32.2,93.0,0.9231836199760437
86,13.1,4.0,199000.0,18.0,0.42,496.0,33.5,69.0,0.5877377986907959
87,15.8,2.0,103000.0,19.0,0.37,328.0,18.4,100.0,0.7358164191246033
88,24.5,46.0,138000.0,6.0,0.66,140.0,22.8,69.0,0.6232244372367859
89,1.1,143.0,188000.0,10.0,0.97,23.0,48.1,65.0,1.0
90,5.1,32.0,174000.0,20.0,0.24,201.0,16.7,80.0,0.7322874069213867
91,23.6,137.0,17000.0,17.0,0.57,372.0,12.0,50.0,0.5282199382781982
