,semiangle_cutoff,defocus,energy,max_iter,step_size,identical_slices_iter,slice_thicknesses,num_slices,NMSE
0,27.3,164.0,203000.0,15.0,0.47,405.0,40.6,53.0,0.45625174045562744
1,27.3,164.0,203000.0,15.0,0.47,405.0,40.6,53.0,0.45625174045562744
2,27.3,164.0,203000.0,15.0,0.47,405.0,40.6,53.0,0.45625174045562744
3,27.3,164.0,203000.0,15.0,0.47,405.0,40.6,53.0,0.45625174045562744
4,27.3,164.0,203000.0,15.0,0.47,405.0,40.6,53.0,0.45625174045562744
5,27.3,164.0,203000.0,15.0,0.47,405.0,40.6,53.0,0.45625174045562744
6,27.3,164.0,203000.0,15.0,0.47,405.0,40.6,53.0,0.45625174045562744
7,27.3,164.0,203000.0,15.0,0.47,405.0,40.6,53.0,0.45625174045562744
8,27.3,164.0,203000.0,15.0,0.47,405.0,40.6,53.0,0.45625174045562744
9,27.3,164.0,203000.0,15.0,0.47,405.0,40.6,53.0,0.45625174045562744
10,27.3,164.0,203000.0,15.0,0.47,405.0,40.6,53.0,0.45625174045562744
11,25.1,153.0,80000.0,13.0,0.47,38.0,28.6,53.0,0.45597589015960693
12,25.1,153.0,195000.0,13.0,0.47,38.0,28.6,53.0,0.4559263288974762
13,25.1,153.0,195000.0,13.0,0.47,38.0,28.6,53.0,0.4559263288974762
14,25.1,153.0,195000.0,13.0,0.47,38.0,28.6,53.0,0.4559263288974762
15,25.4,46.0,194000.0,13.0,0.47,38.0,24.3,6.0,0.3476780652999878
16,25.4,47.0,194000.0,13.0,0.47,38.0,24.3,6.0,0.34721753001213074
17,25.4,47.0,194000.0,13.0,0.47,38.0,24.3,6.0,0.34721753001213074
18,25.4,47.0,194000.0,13.0,0.47,38.0,24.3,6.0,0.34721753001213074
19,25.4,55.0,195000.0,13.0,0.47,38.0,24.3,6.0,0.3446578085422516
20,25.4,85.0,195000.0,13.0,0.47,38.0,24.3,8.0,0.3360291123390198
21,25.4,85.0,195000.0,13.0,0.47,38.0,24.3,8.0,0.3360291123390198
22,25.4,85.0,195000.0,13.0,0.47,38.0,24.3,8.0,0.3360291123390198
23,25.4,85.0,195000.0,13.0,0.47,38.0,24.3,8.0,0.3360291123390198
24,25.4,85.0,195000.0,13.0,0.47,38.0,24.3,8.0,0.3360291123390198
